system,group,source_group,run_name,variant,sequence,ate,rte,success,completion
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MOO04,0.6936297581,0.5181919265,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MOO05,0.2236053005,0.0274280544,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MOO06,0.1848205079,0.2684804185,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MOO07,0.1175139664,0.0377658022,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MOO08,0.6461377866,0.2596642553,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MOO09,0.1383017475,0.071073199,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MOO10,0.4626939447,0.9685495181,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MOO11,0.5844740379,0.319672753,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MOO12,0.3575447568,0.2156350826,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MOO13,0.6457996764,0.335384589,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MOO14,0.3482049479,0.3247286118,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MOO15,0.1350572868,0.0342512534,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.det,det,MOO16,0.0402857164,0.0137925002,0.9999502042,0.9999502112
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MIO01,0.766346327,0.5628932981,0.9998726926,0.9998732662
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MIO02,1.0383551421,0.5276344568,0.9997875053,0.999788057
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MIO03,0.2338920682,0.1468687582,0.9998360924,0.9998362613
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MIO04,0.8059293948,0.1452867328,0.9998365746,0.9998367426
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MIO05,0.3489990301,0.326312869,0.9998487827,0.9998489187
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MIO06,0.5932338432,0.2425474331,0.9998048019,0.9998050393
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MIO07,0.4864534059,0.1366488516,0.9997557998,0.9997563796
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MIO08,0.8160887677,0.8292787621,0.9993408042,0.9993408703
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MIO09,0.1191446472,0.0407015578,0.9946236559,0.9945939773
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MIO10,,,0.9975728155,0.9975668962
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MIO11,,,0.9983050847,0.9983079432
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MIO12,0.3449175365,0.2719783164,0.9999478161,0.9999478946
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MIO13,60.7080078328,22.8564968047,0.9999505611,0.9999506966
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MIO14,0.1583300648,0.0208039304,0.9999547859,0.9999549184
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MIO15,0.4237554827,0.1839165378,0.999852344,0.9998529688
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MIO16,0.4407308446,0.3899620264,0.9999300895,0.9999301607
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MIPB01,0.1606536979,0.0350732846,0.9998299898,0.999830143
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MIPB02,0.4045255007,0.132653222,0.999916283,0.9999163619
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MIPB03,0.1029007786,0.0614965119,0.9999513997,0.9999515005
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MIPB04,0.2237323002,0.0732106139,0.9998989797,0.9998990918
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MIPB05,1.0423683643,0.7150324505,0.9997827976,0.9997831726
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MIPB06,1.0612715278,1.3504698855,0.9997712194,0.9997717594
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MIPB07,0.2571630517,0.0747358487,0.9997532387,0.9997534629
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MIPB08,0.0636517783,0.0244894985,0.7127300704,0.7126710581
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MIPP01,0.1620523481,0.1249684801,0.9999475258,0.9999475584
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MIPP02,0.1240175219,0.0463757099,0.9999217037,0.9999218316
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MIPP03,0.2183038192,0.0959905535,0.9998625902,0.99986279
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MIPP04,0.1146223396,0.083919383,0.9999300063,0.9999300791
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MIPP05,0.3841349038,0.1027036752,0.9999143102,0.9999144687
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MIPP06,0.1658012584,0.1397221345,0.9999098409,0.9999099651
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MIPT01,0.1215815511,0.0282307128,0.9999475451,0.999947605
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MIPT02,0.3715755316,0.3354553185,0.9999313776,0.9999314949
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MIPT03,0.1491041321,0.0269332003,0.9999366628,0.9999367889
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MGO01,0.7058893776,0.6403607213,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MGO02,257.3635574347,128.0556690024,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MGO03,1.2390687288,0.3797431473,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MGO04,1.0218357654,0.2246481446,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MGO05,1.016393468,0.7844080537,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MGO06,0.521123574,0.2362449357,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MGO07,1.3921005367,2.2255002884,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MGO08,,,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MGO09,0.2732176396,0.1504025354,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MGO10,0.2645122561,0.1606191118,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MGO11,0.4424504204,0.1671501723,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MGO12,2658089.9235554505,1302729.610994201,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MGO13,0.9255079912,0.7058679672,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MGO14,0.754538967,0.3818573667,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MGO15,1.1136579937,1.2110741879,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MOO01,0.3373819009,0.3732278396,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MOO02,0.6886635756,0.7323963084,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MOO03,0.3516331957,0.3195476491,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MOO04,0.6254460523,0.3901147069,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MOO05,0.2211597922,0.0273222555,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MOO06,0.1900145263,0.0952384468,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MOO07,0.1177867231,0.0366616291,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MOO08,0.6461159081,0.2596659431,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MOO09,0.1383052119,0.071073199,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MOO10,0.3119781434,0.0921485834,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MOO11,0.5847658348,0.3191997221,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MOO12,0.2333958401,0.1282455728,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MOO13,0.646607686,0.3923867789,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MOO14,0.5154796366,0.2614341467,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MOO15,0.1288440601,0.0753030748,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd1,nd1,MOO16,0.0403465464,0.0135747167,0.9999502042,0.9999502112
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MIO01,0.7890924012,0.6754369267,0.9998726926,0.9998732662
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MIO02,1.0571876884,0.4224974893,0.9997875053,0.999788057
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MIO03,0.2268742312,0.1124408397,0.9998360924,0.9998362613
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MIO04,0.8084938888,0.1432678605,0.9998365746,0.9998367426
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MIO05,0.3482102276,0.3262330278,0.9998487827,0.9998489187
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MIO06,0.4853968385,0.1338068102,0.9998048019,0.9998050393
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MIO07,0.482211281,0.0963922185,0.9997557998,0.9997563796
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MIO08,0.5102394797,0.3885571681,0.9993408042,0.9993408703
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MIO09,0.1191446472,0.0407015578,0.9946236559,0.9945939773
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MIO10,,,0.9975728155,0.9975668962
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MIO11,,,0.9983050847,0.9983079432
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MIO12,0.6056831613,0.3946112417,0.9999478161,0.9999478946
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MIO13,0.7522272265,0.1554407146,0.9999505611,0.9999506966
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MIO14,0.1529939757,0.0190942139,0.9999547859,0.9999549184
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MIO15,0.4163674566,0.1558116493,0.999852344,0.9998529688
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MIO16,0.4584057829,0.3443551249,0.9999300895,0.9999301607
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MIPB01,0.1606287501,0.0877454698,0.9998299898,0.999830143
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MIPB02,0.1601831771,0.0433686433,0.999916283,0.9999163619
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MIPB03,0.114470886,0.1278189822,0.9999513997,0.9999515005
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MIPB04,0.2369869219,0.1521217472,0.9998989797,0.9998990918
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MIPB05,1.5243471719,0.7068586814,0.9997827976,0.9997831726
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MIPB06,1.0199493482,1.2114334963,0.9997712194,0.9997717594
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MIPB07,0.2585044628,0.0748870678,0.9997532387,0.9997534629
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MIPB08,0.0610257634,0.0443781912,0.845458619,0.8454759779
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MIPP01,0.1651517963,0.2597665985,0.9999475258,0.9999475584
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MIPP02,0.1300914564,0.057002175,0.9999217037,0.9999218316
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MIPP03,0.2203551636,0.1285936888,0.9998625902,0.99986279
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MIPP04,0.1140123022,0.1265339397,0.9999300063,0.9999300791
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MIPP05,0.371638263,0.1677931207,0.9999143102,0.9999144687
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MIPP06,0.1691986228,0.1315940612,0.9999098409,0.9999099651
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MIPT01,0.1328865016,0.0316780732,0.9999475451,0.999947605
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MIPT02,0.3710477053,0.347693629,0.9999313776,0.9999314949
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MIPT03,0.154803175,0.0276828082,0.9999366628,0.9999367889
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MGO01,0.9079505269,0.8370182282,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MGO02,78.213386794,14.2338703625,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MGO03,3.2552455509,0.4369046851,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MGO04,1.0096271927,0.2211187145,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MGO05,0.8582317569,0.423805093,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MGO06,0.5188851122,0.173765935,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MGO07,1.3922065341,2.0654147799,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MGO08,,,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MGO09,0.2732176396,0.1504025354,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MGO10,0.2645122561,0.1606191118,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MGO11,0.4424504204,0.1671501723,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MGO12,2405839.1494678603,3870267.8816851857,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MGO13,0.8651861994,0.7656281176,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MGO14,0.7558454988,0.3524301994,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MGO15,2.5413718692,2.7771350059,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MOO01,0.3369101159,0.2716318109,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MOO02,0.6428517166,0.5879554845,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MOO03,0.9890655438,0.9496388785,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MOO04,0.6397527676,0.3753433889,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MOO05,0.2211084424,0.0273163625,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MOO06,0.1500219681,0.0430693026,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MOO07,0.1178253,0.0366812096,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MOO08,0.6461159081,0.2596659431,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MOO09,0.1383052119,0.071073199,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MOO10,0.3119784234,0.0921488116,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MOO11,0.6076455491,0.2615230282,1.0,1.0
Snake-SLAM,snakeslam.rt,snakeslam.rt,snakeslam.rt.nd2,nd2,MOO12,0.2264725868,0.1110044273,1.0,1.0
